GHCN_ID,Lat,Lon,Elev,State,Name,Probability_of_Snow_Depth_GT_0,Median_of_Snow_Depth_GT_0_inches,Probability_of_Snowfall_GT_0,Median_of_Snowfall_GT_0_inches
FMC00914892,10.0333,139.8,1.8,FM,ULITHI,0%,-9999,0%,-9999
FMC00914446,9.6053,138.1786,14.9,FM,MAAP,0%,-9999,0%,-9999
FMC00914808,9.6244,138.1592,19.8,FM,RUMUNG,0%,-9999,0%,-9999
FMC00914831,9.55,138.15,21.3,FM,TAMIL,0%,-9999,0%,-9999
FMC00914585,9.5742,138.1108,3,FM,NORTH FANIF,0%,-9999,0%,-9999
FMC00914429,9.4833,138.0833,10.1,FM,LUWEECH,0%,-9999,0%,-9999
FMW00040308,9.4833,138.0833,13.4,FM,YAP ISLAND WSO AP,0%,-9999,0%,-9999
FMC00914213,9.4508,138.062,15.2,FM,GILMAN,0%,-9999,0%,-9999
PSC00914519,7.45,134.5,31.1,PW,NEKKEN FORESTRY,0%,-9999,0%,-9999
PSW00040309,7.3333,134.4833,28.7,PW,KOROR WSO,0%,-9999,0%,-9999
VQC00671810,17.7603,-64.6128,42.7,VI,COTTON VALLEY 2,0%,-9999,0%,-9999
VQC00672560,17.7561,-64.6494,36.6,VI,EAST HILL,0%,-9999,0%,-9999
VQC00672870,17.7419,-64.6603,39.6,VI,ESTATE THE SIGHT,0%,-9999,0%,-9999
VQC00671740,17.7469,-64.7014,9.1,VI,CHRISTIANSTED FT,0%,-9999,0%,-9999
VQC00673677,17.7164,-64.7117,19.8,VI,GRANARD,0%,-9999,0%,-9999
VQC00671790,18.3492,-64.7136,9.1,VI,CORAL BAY,0%,-9999,0%,-9999
VQC00674900,17.7706,-64.7553,61,VI,MONTPELLIER,0%,-9999,0%,-9999
VQC00672551,18.3347,-64.7594,32,VI,EAST END,0%,-9999,0%,-9999
VQW00011624,17.7028,-64.8056,18.6,VI,CHRISTIANSTED AP,0%,-9999,0%,-9999
VQC00673150,17.75,-64.8333,76.2,VI,FOUNTAIN,0%,-9999,0%,-9999
VQC00670240,17.7564,-64.8625,213.4,VI,ANNALY,0%,-9999,0%,-9999
VQC00679450,18.3503,-64.9167,196.6,VI,WINTBERG,0%,-9999,0%,-9999
RQW00011630,18.255,-65.6408,10.1,PR,ROOSEVELT ROADS,0%,-9999,0%,-9999
RQC00663657,18.3103,-65.6631,9.1,PR,FAJARDO,0%,-9999,0%,-9999
RQC00666805,18.265,-65.7208,109.7,PR,PARAISO,0%,-9999,0%,-9999
RQC00666992,18.2708,-65.7592,1051,PR,PICO DEL ESTE,0%,-9999,0%,-9999
RQC00668144,18.2433,-65.785,39.6,PR,RIO BLANCO LOWER,0%,-9999,0%,-9999
RQC00661590,18.3792,-65.8939,9.1,PR,CANOVANAS,0%,-9999,0%,-9999
RQC00666050,18.0094,-65.8989,14.9,PR,MAUNABO,0%,-9999,0%,-9999
RQC00665064,18.2264,-65.9114,64.9,PR,JUNCOS 1 SE,0%,-9999,0%,-9999
RQC00668815,18.1517,-65.9589,155.4,PR,SAN LORENZO 3S,0%,-9999,0%,-9999
RQC00664276,18.2583,-65.9922,48.8,PR,GURABO SUBSTN,0%,-9999,0%,-9999
RQW00011641,18.4325,-66.0108,2.7,PR,SAN JUAN L M MARIN,0%,-9999,0%,-9999
RQC00666900,18.0025,-66.0128,13.7,PR,PATILLAS,0%,-9999,0%,-9999
RQC00669521,18.3283,-66.0164,35.1,PR,TRUJILLO ALTO 2 SSW,0%,-9999,0%,-9999
RQC00668306,18.3906,-66.0542,28,PR,RIO PIEDRAS EXP STN,0%,-9999,0%,-9999
RQC00664193,17.9783,-66.0875,21.9,PR,GUAYAMA 2E,0%,-9999,0%,-9999
RQC00665123,18.3167,-66.1,88.4,PR,LA MUDA CAGUAS,0%,-9999,0%,-9999
RQC00664867,18.0717,-66.1428,719.3,PR,JAJOME ALTO,0%,-9999,0%,-9999
RQC00662634,18.1833,-66.15,426.7,PR,CIDRA 1 E,0%,-9999,0%,-9999
RQC00661901,18.1189,-66.1658,395,PR,CAYEY 1 E,0%,-9999,0%,-9999
RQC00660152,17.9556,-66.2222,7.6,PR,AGUIRRE,0%,-9999,0%,-9999
RQC00660158,18.1281,-66.2642,710.2,PR,AIBONITO 1 S,0%,-9999,0%,-9999
RQC00669421,18.4333,-66.2667,7.9,PR,TOA BAJA 1 SSW,0%,-9999,0%,-9999
RQC00663409,18.4722,-66.3058,1.5,PR,DORADO 2 WNW,0%,-9999,0%,-9999
RQC00666514,18.2886,-66.3433,538.3,PR,NEGRO -COROZAL,0%,-9999,0%,-9999
RQC00662934,18.3267,-66.3592,198.1,PR,COROZAL SUBSTN,0%,-9999,0%,-9999
RQC00668940,17.9692,-66.3772,9.1,PR,SANTA ISABEL 2 ENE,0%,-9999,0%,-9999
RQC00662723,18.0664,-66.3781,111.3,PR,COAMO 2 SW,0%,-9999,0%,-9999
RQC00666390,18.3344,-66.4078,182.9,PR,MOROVIS 1 N,0%,-9999,0%,-9999
RQC00665807,18.4308,-66.4661,76.2,PR,MANATI 2 E,0%,-9999,0%,-9999
RQC00660040,18.1469,-66.4919,598.9,PR,ACEITUNA WATER TREA,0%,-9999,0%,-9999
RQC00669432,18.1731,-66.4928,868.1,PR,TORO NEGRO FOREST,0%,-9999,0%,-9999
RQC00664126,18.0742,-66.4967,112.8,PR,GUAYABAL,0%,-9999,0%,-9999
RQC00665020,18.0514,-66.4986,79.9,PR,JUANA DIAZ CAMP,0%,-9999,0%,-9999
RQC00661142,18.2258,-66.5039,554.7,PR,CACAOS-OROCOVIS,0%,-9999,0%,-9999
RQC00669774,18.1094,-66.5056,120.4,PR,VILLALBA 1 SE,0%,-9999,0%,-9999
RQC00666270,18.3794,-66.5153,195.1,PR,MONTE BELLO MANATI,0%,-9999,0%,-9999
RQC00662330,18.2764,-66.5194,291.1,PR,CERRO GORDO CIALES,0%,-9999,0%,-9999
RQC00667292,18.0258,-66.5253,21.3,PR,PONCE 4 E,0%,-9999,0%,-9999
RQC00662336,18.1547,-66.562,1219.8,PR,CERRO MARAVILLA,0%,-9999,0%,-9999
RQC00660668,18.4286,-66.5631,73.2,PR,BARCELONETA 3 SW,0%,-9999,0%,-9999
RQC00664910,18.215,-66.5931,469.4,PR,JAYUYA,0%,-9999,0%,-9999
RQC00667295,17.985,-66.6294,3,PR,PONCE CITY,0%,-9999,0%,-9999
RQC00663023,18.0836,-66.6547,175,PR,CORRAL VIEJO,0%,-9999,0%,-9999
RQC00663431,18.3361,-66.6667,61,PR,DOS BOCAS,0%,-9999,0%,-9999
RQC00669608,18.2617,-66.6864,158.5,PR,UTUADO,0%,-9999,0%,-9999
RQC00666983,18.0586,-66.7183,143.3,PR,PENUELAS 1 E,0%,-9999,0%,-9999
RQC00660053,18.1614,-66.7222,506,PR,ADJUNTAS 1 S,0%,-9999,0%,-9999
RQC00660426,18.3494,-66.7525,323.1,PR,ARECIBO OBSY,0%,-9999,0%,-9999
RQC00664340,18.45,-66.7667,64.9,PR,HATO ARRIBA ARECIBO,0%,-9999,0%,-9999
RQC00660061,18.1747,-66.7978,557.8,PR,ADJUNTAS SUBSTN,0%,-9999,0%,-9999
RQC00660948,17.9906,-66.8161,4.6,PR,BOCA,0%,-9999,0%,-9999
RQC00662316,17.9833,-66.8167,9.1,PR,CENTRAL SAN FRANCIS,0%,-9999,0%,-9999
RQC00669860,18.0436,-66.8606,53.9,PR,YAUCO 1 NW,0%,-9999,0%,-9999
RQC00663904,18.3964,-66.9244,202.1,PR,GUAJATACA DAM,0%,-9999,0%,-9999
RQC00663532,17.9728,-66.9458,45.7,PR,ENSENADA 1 W,0%,-9999,0%,-9999
USC00172426,44.9067,-66.9919,25.9,ME,EASTPORT,48%,3,23%,1.1
RQC00666361,18.4736,-67.0289,125,PR,MORA CAMP,0%,-9999,0%,-9999
RQC00664702,18.4653,-67.0525,128,PR,ISABELA SUBSTN,0%,-9999,0%,-9999
RQC00665097,18.0331,-67.0722,27.4,PR,LAJAS SUBSTN,0%,-9999,0%,-9999
RQC00661345,18.4725,-67.1156,85,PR,CALERO CAMP,0%,-9999,0%,-9999
USC00177238,45.0853,-67.1203,35.1,ME,ROBBINSTON,71%,6,31%,1.1
RQW00011603,18.4981,-67.1294,66.4,PR,BORINQUEN AP,0%,-9999,0%,-9999
RQC00666073,18.1875,-67.1378,22.6,PR,MAYAGUEZ CITY,0%,-9999,0%,-9999
RQC00666083,18.2539,-67.1486,11.6,PR,MAYAGUEZ AIRPORT,0%,-9999,0%,-9999
RQC00662801,18.3808,-67.1569,12.2,PR,COLOSO,0%,-9999,0%,-9999
USC00178974,45.5608,-67.4303,128,ME,VANCEBORO NO 2,69%,6,21%,2.1
USC00174878,44.72,-67.4539,6.1,ME,MACHIAS,48%,4,22%,2
USC00174183,44.6439,-67.6475,56.4,ME,JONESBORO,53%,4,16%,2
USW00014609,46.1236,-67.7928,145.1,ME,HOULTON INTL AP,80%,6,31%,1.2
USC00173944,46.2061,-67.8417,118.9,ME,HOULTON 5N,83%,7,34%,1
USC00170833,46.4283,-67.8442,128,ME,BRIDGEWATER,87%,8,25%,1.8
USC00171833,45.6611,-67.8614,144.8,ME,DANFORTH,69%,6,20%,1.7
USC00178965,47.1664,-67.9397,139,ME,VAN BUREN 2,86%,10,23%,2
RQC00666258,18.0908,-67.9442,2.1,PR,MONA ISLAND 2,0%,-9999,0%,-9999
USC00176937,46.6539,-68.0089,182.6,ME,PRESQUE ISLE,85%,9,22%,2
USW00014607,46.8706,-68.0172,190.2,ME,CARIBOU MUNI AP,86%,8,42%,0.9
USC00178353,45.4,-68.1667,134.1,ME,SPRINGFIELD,73%,8,23%,2
USC00170100,44.3739,-68.2592,143.3,ME,ACADIA NP,51%,6,16%,2
USC00172878,47.2386,-68.6136,185.9,ME,FT KENT,92%,9,27%,1.1
USW00014606,44.7978,-68.8186,45.1,ME,BANGOR INTL AP,63%,4,22%,1.5
USC00170200,47.0886,-69.025,181.7,ME,ALLAGASH,96%,10,26%,1.9
USC00170398,45.2883,-69.1467,166.1,ME,BARNARD,82%,7,26%,1.5
USC00171975,45.1872,-69.1839,112.8,ME,DOVER-FOXCROFT WWTP,85%,8,26%,1.5
USC00177654,45.2536,-69.2278,115.8,ME,SEBEC LAKE,83%,7,33%,1.2
USC00171628,44.9197,-69.2417,90.5,ME,CORINNA,76%,7,20%,2
USC00176881,43.9186,-69.2622,9.1,ME,PORT CLYDE,38%,4,15%,1.8
USC00173417,45.1703,-69.3817,121.9,ME,GUILFORD,82%,8,24%,1.9
USC00170177,44.4822,-69.4836,97.5,ME,ALBION,75%,6,31%,1.2
USC00175675,44.0461,-69.5367,57.9,ME,NEWCASTLE,61%,5,27%,1
USC00173567,44.9442,-69.5458,97.5,ME,HARMONY,70%,7,20%,2
USC00179151,44.5272,-69.6544,22.3,ME,WATERVILLE TRTMT PL,70%,5,20%,2
USC00175460,45.5869,-69.7161,313.3,ME,MOOSEHEAD,90%,6,36%,1
USC00173046,44.2203,-69.7889,42.7,ME,GARDINER,63%,5,15%,2.8
USW00014605,44.3206,-69.7972,106.7,ME,AUGUSTA STATE AP,64%,5,24%,1.3
USC00170814,45.6603,-69.812,323.1,ME,BRASSUA DAM,92%,8,34%,1
USC00170409,43.9317,-69.8564,7.6,ME,BATH,55%,4,22%,1.1
USW00014611,43.9,-69.9333,21.3,ME,BRUNSWICK NAS,46%,5,18%,1.5
USC00191386,41.6569,-69.9589,12.2,MA,CHATHAM,14%,3,8%,-6666
USC00175736,44.6353,-70.0003,146.3,ME,NEW SHARON,76%,6,22%,2
USC00172048,43.9869,-70.055,44.2,ME,DURHAM,71%,6,24%,1.5
USC00172765,44.6889,-70.1567,128,ME,FARMINGTON,75%,9,22%,2
USC00174324,44.9656,-70.1711,192,ME,KINGFIELD,76%,5,22%,1.7
USC00174781,45.2219,-70.1983,353.6,ME,LONG FALLS DAM,94%,9,36%,1
USC00174566,44.1,-70.2167,54.9,ME,LEWISTON,60%,5,20%,1.7
USC00173295,43.8925,-70.2544,115.2,ME,GRAY,67%,4,27%,1.4
USC00174086,45.6233,-70.255,362.7,ME,JACKMAN,92%,9,28%,1.9
USW00014764,43.6497,-70.3003,13.7,ME,PORTLAND INTL JETPO,48%,5,22%,1.2
USC00193821,41.665,-70.3039,15.2,MA,HYANNIS,12%,2,5%,-6666
USC00176705,44.8167,-70.35,182.9,ME,PHILLIPS,84%,11,17%,2.4
USC00176856,44.0069,-70.3608,170.7,ME,POLAND,66%,5,24%,1.4
USC00174193,43.3606,-70.4697,6.1,ME,KENNEBUNKPORT,45%,5,15%,1.3
USC00172700,45.2172,-70.4825,384,ME,EUSTIS,97%,9,35%,1.2
USC00192501,41.3853,-70.5181,9.1,MA,EDGARTOWN,15%,3,7%,-6666
USC00177325,44.5308,-70.5372,192,ME,RUMFORD 1 SSE,83%,7,20%,2
USC00179538,44.3333,-70.5833,164.6,ME,WEST PARIS,70%,7,18%,2
USC00192451,41.7653,-70.6697,9.1,MA,EAST WAREHAM,21%,3,11%,1.5
USC00177037,44.9892,-70.6719,466.3,ME,RANGELEY,93%,8,46%,1
USC00173862,43.6478,-70.675,96,ME,HOLLIS,70%,7,25%,1.2
USC00196486,41.9819,-70.6961,13.7,MA,PLYMOUTH-KINGSTON,22%,4,10%,-6666
USC00172238,43.8786,-70.7539,160.9,ME,EAST HIRAM,76%,8,22%,1.5
USC00273626,43.0167,-70.8333,25.9,NH,GREENLAND,47%,4,18%,1.6
USC00194502,42.5008,-70.8644,25.6,MA,MARBLEHEAD,26%,4,11%,2
USC00174817,44.1569,-70.8944,149.4,ME,LOVELL,78%,6,18%,1.7
USC00195285,42.8633,-70.8997,25.9,MA,NEWBURYPORT 4 NNW,37%,5,18%,1
USC00193624,42.2269,-70.9125,10.7,MA,HINGHAM,32%,3,20%,0.7
USW00014790,42.15,-70.9333,47.9,MA,SOUTH WEYMOUTH NAS,23%,4,15%,0.9
USC00272174,43.15,-70.95,24.4,NH,DURHAM,44%,5,11%,2
USC00277253,43.3003,-70.9828,70.1,NH,ROCHESTER,50%,4,18%,1.5
USC00196245,42.5333,-70.9833,51.8,MA,PEABODY,27%,3,12%,1.5
USW00014739,42.3606,-71.0106,3.7,MA,BOSTON LOGAN INTL A,19%,3,17%,0.8
USC00193276,42.7467,-71.0425,10.1,MA,GROVELAND,49%,6,21%,1.4
USC00198367,41.9003,-71.0658,6.1,MA,TAUNTON,22%,4,8%,-6666
USW00014753,42.2122,-71.1136,190.5,MA,BLUE HILL,39%,4,22%,1
USC00196783,42.5242,-71.1264,27.4,MA,READING,43%,4,21%,1
USC00275995,44.0303,-71.1383,165.8,NH,NORTH CONWAY,77%,7,30%,1
USC00270690,44.4486,-71.1842,283.5,NH,BERLIN,82%,7,23%,2
USC00198757,42.1608,-71.2461,50.3,MA,WALPOLE 2,42%,5,19%,1
USC00276818,44.2633,-71.255,612.6,NH,PINKHAM NOTCH,91%,11,33%,1.9
USC00190535,42.4833,-71.2833,48.8,MA,BEDFORD,43%,4,21%,0.8
USC00272999,45.0875,-71.2872,506,NH,FIRST CONNECTICUT L,97%,10,53%,1.3
USW00014755,44.2667,-71.2994,1910.2,NH,MT WASHINGTON,94%,5,62%,1.6
USC00278612,43.9,-71.3,240.8,NH,TAMWORTH 3,81%,8,28%,1
USC00195175,42.2825,-71.3439,54.9,MA,NATICK,41%,4,13%,2
USC00375215,41.5,-71.35,4.6,RI,NEWPORT ROSE,9%,-6666,6%,-6666
USC00194313,42.6408,-71.3636,33.5,MA,LOWELL,44%,4,15%,1.6
USC00192997,42.0792,-71.4094,76.2,MA,FRANKLIN,41%,4,11%,2.1
USC00274234,42.7831,-71.4147,56.4,NH,HUDSON 1 SSE,58%,4,20%,1.2
USW00014765,41.7219,-71.4325,18.3,RI,PROVIDENCE T F GREE,22%,3,15%,1.1
USC00199316,42.1333,-71.4333,64,MA,WEST MEDWAY,32%,4,13%,1.2
USC00274480,43.5492,-71.4642,152.4,NH,LAKEPORT 2,59%,4,17%,2
USC00275350,43.7003,-71.4664,253,NH,MEREDITH 3 NNE,75%,6,22%,1.5
USC00275532,43.7333,-71.4833,182.9,NH,MOULTONBORO 5 WSW,78%,6,31%,0.7
USC00379423,41.9844,-71.4908,33.5,RI,WOONSOCKET,39%,3,12%,1.4
USC00274329,44.4169,-71.5008,376.4,NH,JEFFERSON,81%,6,42%,0.9
USW00014745,43.1953,-71.5011,105.5,NH,CONCORD MUNI AP,59%,5,23%,1.2
USC00431213,44.9964,-71.5356,326.1,VT,CANAAN,89%,7,42%,1.2
USC00271647,44.8611,-71.54,341.4,NH,COLEBROOK 3SW,83%,6,30%,1.8
USC00374266,41.4906,-71.5414,34.7,RI,KINGSTON,23%,3,11%,1.6
USC00274556,44.4911,-71.5725,262.1,NH,LANCASTER,82%,6,38%,1
USC00276234,44.75,-71.6303,277.4,NH,NORTH STRATFORD,87%,8,38%,1
USC00275412,42.8394,-71.6486,97.5,NH,MILFORD,62%,5,19%,1.4
USC00276945,43.7833,-71.65,201.2,NH,PLYMOUTH,70%,4,23%,1.2
USC00270706,44.3064,-71.6575,359.7,NH,BETHLEHEM 2,83%,8,39%,1.3
USC00195524,42.115,-71.6758,96,MA,NORTHBRIDGE 2,38%,4,14%,1.9
USC00375270,41.8564,-71.7333,192,RI,NORTH FOSTER 1 E,45%,5,20%,1.2
USC00278972,43.0847,-71.7383,219.5,NH,WEARE,69%,5,18%,1.7
USC00271950,43.0908,-71.8678,325.2,NH,DEERING,72%,5,20%,1.9
USW00094746,42.2706,-71.8731,304.8,MA,WORCESTER RGNL AP,43%,3,25%,0.9
USC00434120,44.8128,-71.8903,365.8,VT,ISLAND POND,93%,8,48%,1
USC00273415,43.9847,-71.8947,329.2,NH,GLENCLIFF 2,77%,5,23%,1.8
USC00069388,41.9442,-71.9031,112.8,CT,WEST THOMPSON LAKE,35%,3,11%,2
USC00279091,43.9522,-71.9156,189,NH,WENTWORTH,75%,4,30%,1.2
USC00190190,42.6178,-71.9158,337.7,MA,ASHBURNHAM,65%,5,26%,1.1
USC00270681,44.0342,-71.9486,365.8,NH,BENTON 5 SW,76%,4,36%,0.8
USC00270910,43.2586,-71.98,286.5,NH,BRADFORD,72%,5,20%,1.4
USC00439099,44.6464,-71.9833,274.3,VT,WEST BURKE,95%,9,37%,1
USW00054742,44.42,-72.0194,213.4,VT,SAINT JOHNSBURY,83%,6,44%,0.9
USC00190408,42.4283,-72.0275,253,MA,BARRE FALLS DAM,55%,4,18%,1.8
USC00063207,41.3511,-72.0389,12.2,CT,GROTON,18%,2,9%,-6666
USC00197627,42.0583,-72.0722,208.8,MA,SOUTHBRIDGE 3 SW,38%,4,15%,2
USC00437646,44.0503,-72.0753,143.3,VT,SOUTH NEWBURY,69%,5,20%,2
USC00190666,42.6325,-72.1233,263,MA,BIRCH HILL DAM,53%,4,13%,1.9
USC00192107,42.1103,-72.1269,213.4,MA,EAST BRIMFIELD LAKE,49%,4,18%,2
USC00275868,43.3836,-72.1753,240.8,NH,NEWPORT,72%,5,22%,1.4
USC00064488,41.7572,-72.1858,76.2,CT,MANSFIELD HOLLOW LA,31%,3,9%,-6666
USC00435542,44.9489,-72.1911,240.8,VT,NEWPORT,87%,7,43%,0.9
USC00275150,43.1175,-72.2003,359.7,NH,MARLOW,73%,5,22%,1.6
USC00198573,42.64,-72.2244,208.8,MA,TULLY LAKE,59%,5,16%,2
USC00198793,42.2622,-72.2483,121.9,MA,WARE,50%,3,14%,2
USC00438556,43.7917,-72.2578,140.2,VT,UNION VILLAGE DAM,77%,5,20%,1.8
USC00273850,43.7033,-72.2847,183.8,NH,HANOVER,71%,5,23%,1.1
USC00300889,40.9461,-72.3069,18.3,NY,BRIDGEHAMPTON,15%,2,8%,-6666
USC00274399,42.9389,-72.3247,155.8,NH,KEENE,66%,4,21%,1.1
USC00278858,43.0739,-72.4053,283.5,NH,WALPOLE 3,71%,5,15%,2
USC00431360,43.9833,-72.45,243.8,VT,CHELSEA,84%,6,27%,1.4
USC00430499,43.1333,-72.45,82.3,VT,BELLOWS FALLS,63%,4,19%,1.5
USC00190120,42.3861,-72.5375,43.3,MA,AMHERST,45%,3,13%,2
USC00198278,42.4444,-72.5528,68.6,MA,SUNDERLAND,50%,3,18%,1
USW00094705,44.2033,-72.5794,343.2,VT,BARRE MONTPELIER AP,81%,5,38%,1
USC00431243,43.3847,-72.5989,256.6,VT,CAVENDISH,85%,5,28%,1
USC00430661,43.8833,-72.6344,201.2,VT,BETHEL 4 N,86%,6,24%,1.1
USC00435733,44.1647,-72.6567,204.2,VT,NORTHFIELD,84%,6,24%,1.9
USW00014740,41.9381,-72.6825,57.9,CT,HARTFORD BRADLEY IN,28%,2,17%,0.9
USC00191611,42.6667,-72.7,190.5,MA,COLRAIN,78%,4,17%,1.8
USC00434747,43.3939,-72.7103,385.6,VT,LUDLOW,85%,6,28%,1
USC00307134,40.9619,-72.7158,30.5,NY,RIVERHEAD RSCH FM,16%,3,8%,-6666
USC00064767,41.55,-72.7167,112.5,CT,MIDDLETOWN 4 W,27%,5,12%,1.5
USC00438815,44.3167,-72.75,231.6,VT,WATERBURY 2 SSE,91%,8,50%,0.8
USC00436893,43.8578,-72.8045,253,VT,ROCHESTER,74%,5,21%,1.6
USC00432769,44.9094,-72.8083,128,VT,ENOSBURG FALLS,74%,5,33%,1.2
USC00435416,44.5247,-72.8153,1204,VT,MT MANSFIELD,99%,28,55%,1.8
USC00439591,43.0331,-72.85,429.8,VT,WEST WARDSBORO,83%,7,36%,1.4
USC00190213,42.5133,-72.8508,408.4,MA,ASHFIELD,74%,6,22%,1.3
USC00438637,44.1872,-72.8781,313.3,VT,WAITSFIELD 2 W,84%,5,34%,1.2
USC00065077,41.4075,-72.9033,54.9,CT,MT CARMEL,29%,3,11%,1
USC00199972,42.3869,-72.9211,391.7,MA,WORTHINGTON,70%,5,37%,0.5
USC00431433,43.7064,-72.9617,354.5,VT,CHITTENDEN,75%,5,27%,1.5
USC00060299,41.9211,-72.9644,214.9,CT,BARKHAMSTED,44%,5,11%,2
USC00437612,44.0725,-72.9736,408.7,VT,SOUTH LINCOLN,82%,5,40%,1.3
USC00436995,43.6253,-72.9781,189,VT,RUTLAND,69%,4,26%,1.1
USC00306441,40.7967,-73.0014,16.8,NY,PATCHOGUE 2 N,17%,3,9%,-6666
USC00060227,41.8417,-73.0086,209.1,CT,BAKERSVILLE,57%,5,23%,0.9
USC00437032,44.8592,-73.0911,115.8,VT,ST ALBANS RADIO,62%,5,32%,1
USC00437098,43.9256,-73.0992,128,VT,SALISBURY 2 N,63%,5,21%,1.8
USW00004781,40.7939,-73.1017,25.6,NY,ISLIP LI MACARTHUR,14%,3,9%,-6666
USC00432843,44.5078,-73.1153,103.6,VT,ESSEX JUNCTION 1 N,71%,5,35%,1
USC00438160,43.0908,-73.1244,274.3,VT,SUNDERLAND 2,59%,4,31%,1.2
USW00094702,41.1583,-73.1289,1.5,CT,BRIDGEPORT SIKORSKY,21%,2,12%,0.9
USW00014742,44.4683,-73.15,100.6,VT,BURLINGTON INTL AP,64%,4,41%,0.8
USC00065445,41.9725,-73.2208,408.4,CT,NORFOLK 2 SW,72%,5,30%,1
USC00436500,42.7917,-73.2228,338.3,VT,POWNAL 1 NE,59%,4,18%,2
USC00069775,41.5536,-73.2297,198.1,CT,WOODBURY,35%,3,19%,1
USC00194075,42.55,-73.2333,376.7,MA,LANESBORO,70%,4,21%,1.7
USC00437607,44.6264,-73.3031,33.5,VT,SOUTH HERO,59%,4,25%,0.8
USC00061762,41.4,-73.4167,123.4,CT,DANBURY,35%,3,18%,1
USC00300452,43.1014,-73.4319,115.8,NY,BATTENVILLE,57%,4,17%,1.8
USC00303360,42.7833,-73.4667,475.5,NY,GRAFTON,67%,5,24%,1.6
USC00309303,42.6167,-73.6,195.1,NY,WEST SAND LAKE 2 S,49%,4,18%,1.6
USW00014750,43.35,-73.6167,97.8,NY,GLENS FALLS AP,56%,4,24%,0.9
USC00305377,40.7328,-73.6183,29.3,NY,MINEOLA,13%,3,5%,-6666
USC00308746,42.4333,-73.6833,91.4,NY,VALATIE 1 N,47%,4,11%,2.4
USC00308600,42.75,-73.6833,7.3,NY,TROY L&D,45%,3,14%,1.8
USC00303284,43.3333,-73.7333,153.6,NY,GLENS FALLS FARM,63%,4,16%,1.9
USC00308304,41.5333,-73.7333,278.9,NY,STORMVILLE,41%,4,20%,1
USW00094789,40.6386,-73.7622,3.4,NY,NEW YORK JFK INTL A,12%,3,11%,0.6
USC00309670,41.2664,-73.7975,204.2,NY,YORKTOWN HEIGHTS 1W,40%,3,13%,1
USC00304025,42.25,-73.8,18.3,NY,HUDSON COR.FACILITY,34%,4,8%,-6666
